,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation,user_split,user_text,target,location
290,USGS_TexasFlood,"#USGS08192000 - Nueces Rv bl Uvalde, TX is below NWS flood stage (11ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08192000&amp;t=20160927003000",2016-09-27 06:38:02+00:00,0,0,,#USGS08192000,,USGS TexasFlood,"USGS TexasFlood #USGS08192000 - Nueces Rv bl Uvalde, TX is below NWS flood stage (11ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08192000&amp;t=20160927003000",1,IA
291,USGS_TexasFlood,"#USGS08178800 - Salado Ck at Loop 13, San Antonio, TX is below NWS flood stage (18ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178800&amp;t=20160926231500",2016-09-27 05:22:00+00:00,0,0,,#USGS08178800,,USGS TexasFlood,"USGS TexasFlood #USGS08178800 - Salado Ck at Loop 13, San Antonio, TX is below NWS flood stage (18ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178800&amp;t=20160926231500",1,IA
292,iembot_gsp,"At 11:50 PM, 3 SSW Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609270350/201609270350",2016-09-27 04:56:16+00:00,0,0,,#GSP,,iembot gsp,"iembot gsp At 11:50 PM, 3 SSW Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609270350/201609270350",1,IA
293,CharlotteCP,Flash Flood Warning for Mecklenburg County in NC until 1:45am Tuesday. @WSOCWeather http://toplocalnow.com/us/charlotte,2016-09-27 04:25:35+00:00,0,0,@WSOCWeather,,,CharlotteCP,CharlotteCP Flash Flood Warning for Mecklenburg County in NC until 1:45am Tuesday. @WSOCWeather http://toplocalnow.com/us/charlotte,1,IA
294,NWSRaleigh, Move to higher ground! Flash Flood Warning continues for Asheboro NC and Randleman NC until 2:00 AM EDT ,2016-09-27 04:14:16+00:00,2,1,,,,NWSRaleigh,NWSRaleigh  Move to higher ground! Flash Flood Warning continues for Asheboro NC and Randleman NC until 2:00 AM EDT ,1,IA
295,NorfsideDonn,Flood The Streets Documentary #otw #DonnJonz @864hiphop https://www.instagram.com/p/BK2FykkAzAl/,2016-09-27 03:59:54+00:00,0,0,,#otw #DonnJonz,,NorfsideDonn,NorfsideDonn Flood The Streets Documentary #otw #DonnJonz @864hiphop https://www.instagram.com/p/BK2FykkAzAl/,1,IA
296,NWSRaleigh, Move to higher ground! Flash Flood Warning including Asheboro NC and Randleman NC until 2:00 AM EDT ,2016-09-27 03:08:17+00:00,7,3,,,,NWSRaleigh,NWSRaleigh  Move to higher ground! Flash Flood Warning including Asheboro NC and Randleman NC until 2:00 AM EDT ,1,IA
297,_lindSAY_what_,The Fire and the Flood #latergram @The Esplanade https://www.instagram.com/p/BK1pdVsDVGl/,2016-09-26 23:52:13+00:00,0,0,,#latergram,, lindSAY what , lindSAY what  The Fire and the Flood #latergram @The Esplanade https://www.instagram.com/p/BK1pdVsDVGl/,1,IA
298,iembot_ewx,"At 8:30 AM, 2 ENE Terrell Hills [Bexar Co, TX] NEWSPAPER reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261330/201609261330",2016-09-26 23:24:57+00:00,0,0,,#EWX,,iembot ewx,"iembot ewx At 8:30 AM, 2 ENE Terrell Hills [Bexar Co, TX] NEWSPAPER reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261330/201609261330",1,IA
299,USGS_TexasFlood,"#USGS08068090 - W Fk San Jacinto Rv abv Lk Houston nr Porter, TX is above NWS flood stage (33ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08068090&amp;t=20160926164500",2016-09-26 22:24:58+00:00,0,0,,#USGS08068090,,USGS TexasFlood,"USGS TexasFlood #USGS08068090 - W Fk San Jacinto Rv abv Lk Houston nr Porter, TX is above NWS flood stage (33ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08068090&amp;t=20160926164500",1,IA
300,Austin_CP,Texas State students take to Twitter as San Marcos floods txst http://atxne.ws/2cyJhTI,2016-09-26 20:34:04+00:00,0,0,,,,Austin CP,Austin CP Texas State students take to Twitter as San Marcos floods txst http://atxne.ws/2cyJhTI,1,IA
301,shhmeddywap,"We must build dikes of courage, to hold back the flood of fear @Cedar Rapids Downtown District https://www.instagram.com/p/BK1RxqxgubG/",2016-09-26 20:25:17+00:00,0,1,,,,shhmeddywap,"shhmeddywap We must build dikes of courage, to hold back the flood of fear @Cedar Rapids Downtown District https://www.instagram.com/p/BK1RxqxgubG/",1,IA
302,USGS_TexasFlood,"#USGS08178800 - Salado Ck at Loop 13, San Antonio, TX is above NWS flood stage (18ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178800&amp;t=20160926151500",2016-09-26 20:21:56+00:00,0,0,,#USGS08178800,,USGS TexasFlood,"USGS TexasFlood #USGS08178800 - Salado Ck at Loop 13, San Antonio, TX is above NWS flood stage (18ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178800&amp;t=20160926151500",1,IA
303,sarahkimbro912,Praying for my hometown & everyone affected during this flood.… https://www.instagram.com/p/BK1NIulBRQR9P1wOc_sLtjmw8r7oWnnPF9QgXs0/,2016-09-26 19:44:45+00:00,0,1,,,,sarahkimbro912,sarahkimbro912 Praying for my hometown & everyone affected during this flood.… https://www.instagram.com/p/BK1NIulBRQR9P1wOc_sLtjmw8r7oWnnPF9QgXs0/,1,IA
304,USGS_TexasFlood,"#USGS08181500 - Medina Rv at San Antonio, TX is below NWS flood stage (20ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08181500&amp;t=20160926131500",2016-09-26 19:24:56+00:00,0,0,,#USGS08181500,,USGS TexasFlood,"USGS TexasFlood #USGS08181500 - Medina Rv at San Antonio, TX is below NWS flood stage (20ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08181500&amp;t=20160926131500",1,IA
305,BradWickersheim,"Looking for washer & dryer - flood damage replacement (@Charlie's Hardware in Waseca, MN) https://www.swarmapp.com/c/9ZhZ89Voa7Q",2016-09-26 19:09:26+00:00,0,1,,,,BradWickersheim,"BradWickersheim Looking for washer & dryer - flood damage replacement (@Charlie's Hardware in Waseca, MN) https://www.swarmapp.com/c/9ZhZ89Voa7Q",1,IA
306,educaciondecr,"Flood - Iowa/Illinois/Minnesota/Wisconsin, United States: FLOOD (WARNING) http://dlvr.it/MLJXQL",2016-09-26 18:43:10+00:00,0,0,,,,educaciondecr,"educaciondecr Flood - Iowa/Illinois/Minnesota/Wisconsin, United States: FLOOD (WARNING) http://dlvr.it/MLJXQL",1,IA
307,SanAntonioCP,Texas State has issued a flood warning. Do not attempt to drive. Stay dry and stay safe. SMTX TXST http://toplocalnow.com/us/san-antonio,2016-09-26 17:46:07+00:00,0,0,,,,SanAntonioCP,SanAntonioCP Texas State has issued a flood warning. Do not attempt to drive. Stay dry and stay safe. SMTX TXST http://toplocalnow.com/us/san-antonio,1,IA
308,CHarris7_32,Bout to flood ya TL with pics from this weekend. Just happy I got to… https://www.instagram.com/p/BK0-dJNj_iMuDDoYqTtGPzTB4hnMC5Qmu5JhOo0/,2016-09-26 17:36:27+00:00,0,0,,,,CHarris7 32,CHarris7 32 Bout to flood ya TL with pics from this weekend. Just happy I got to… https://www.instagram.com/p/BK0-dJNj_iMuDDoYqTtGPzTB4hnMC5Qmu5JhOo0/,1,IA
309,USGS_TexasFlood,"#USGS08178565 - San Antonio Rv at Loop 410, San Antonio, TX is below NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178565&amp;t=20160926111500",2016-09-26 17:26:54+00:00,0,0,,#USGS08178565,,USGS TexasFlood,"USGS TexasFlood #USGS08178565 - San Antonio Rv at Loop 410, San Antonio, TX is below NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178565&amp;t=20160926111500",1,IA
310,USGS_TexasFlood,"#USGS08181500 - Medina Rv at San Antonio, TX is above NWS flood stage (20ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08181500&amp;t=20160926121500",2016-09-26 17:24:54+00:00,0,0,,#USGS08181500,,USGS TexasFlood,"USGS TexasFlood #USGS08181500 - Medina Rv at San Antonio, TX is above NWS flood stage (20ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08181500&amp;t=20160926121500",1,IA
311,iembot_ewx,"At 12:13 PM, SAN Marcos [Hays Co, TX] LAW ENFORCEMENT reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261713/201609261713",2016-09-26 17:16:28+00:00,0,0,,#EWX,,iembot ewx,"iembot ewx At 12:13 PM, SAN Marcos [Hays Co, TX] LAW ENFORCEMENT reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261713/201609261713",1,IA
312,SanAntonioCP, Move to higher ground! Flash Flood Warning including San Marcos TX until 1:45 PM CDT http://toplocalnow.com/us/san-antonio,2016-09-26 17:05:06+00:00,0,0,,,,SanAntonioCP,SanAntonioCP  Move to higher ground! Flash Flood Warning including San Marcos TX until 1:45 PM CDT http://toplocalnow.com/us/san-antonio,1,IA
313,NWSSanAntonio, Move to higher ground! Flash Flood Warning including San Marcos TX until 1:45 PM CDT ,2016-09-26 16:52:42+00:00,32,13,,,,NWSSanAntonio,NWSSanAntonio  Move to higher ground! Flash Flood Warning including San Marcos TX until 1:45 PM CDT ,1,IA
314,USGS_TexasFlood,"#USGS08181800 - San Antonio Rv nr Elmendorf, TX is above NWS flood stage (35ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08181800&amp;t=20160926113000",2016-09-26 16:38:55+00:00,0,0,,#USGS08181800,,USGS TexasFlood,"USGS TexasFlood #USGS08181800 - San Antonio Rv nr Elmendorf, TX is above NWS flood stage (35ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08181800&amp;t=20160926113000",1,IA
315,USGS_TexasFlood,"#USGS08178700 - Salado Ck at Loop 410, San Antonio, TX is below NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178700&amp;t=20160926094500",2016-09-26 15:58:53+00:00,0,0,,#USGS08178700,,USGS TexasFlood,"USGS TexasFlood #USGS08178700 - Salado Ck at Loop 410, San Antonio, TX is below NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178700&amp;t=20160926094500",1,IA
316,SanAntonioCP,"Flash Flood Warning extended until 945 AM for Bexar County, including San Antonio metro area. @NWSSanAntonio http://toplocalnow.com/us/san-antonio",2016-09-26 14:31:05+00:00,0,0,@NWSSanAntonio,,,SanAntonioCP,"SanAntonioCP Flash Flood Warning extended until 945 AM for Bexar County, including San Antonio metro area. @NWSSanAntonio http://toplocalnow.com/us/san-antonio",1,IA
317,USGS_TexasFlood,"#USGS08178700 - Salado Ck at Loop 410, San Antonio, TX is above NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178700&amp;t=20160926084500",2016-09-26 13:58:53+00:00,0,0,,#USGS08178700,,USGS TexasFlood,"USGS TexasFlood #USGS08178700 - Salado Ck at Loop 410, San Antonio, TX is above NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178700&amp;t=20160926084500",1,IA
318,USGS_TexasFlood,"#USGS08177700 - Olmos Ck at Dresden Dr, San Antonio, TX is below NWS flood stage (9ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08177700&amp;t=20160926081500",2016-09-26 13:54:52+00:00,0,0,,#USGS08177700,,USGS TexasFlood,"USGS TexasFlood #USGS08177700 - Olmos Ck at Dresden Dr, San Antonio, TX is below NWS flood stage (9ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08177700&amp;t=20160926081500",1,IA
319,iembot_fwd,"At 8:15 AM, Dallas [Dallas Co, TX] PUBLIC reports FLOOD #FWD http://mesonet.agron.iastate.edu/lsr/#FWD/201609261315/201609261315",2016-09-26 13:43:39+00:00,1,0,,#FWD,,iembot fwd,"iembot fwd At 8:15 AM, Dallas [Dallas Co, TX] PUBLIC reports FLOOD #FWD http://mesonet.agron.iastate.edu/lsr/#FWD/201609261315/201609261315",1,IA
320,iembot_gsp,"At 7:06 AM, 4 NNE Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261106/201609261106",2016-09-26 13:15:44+00:00,0,0,,#GSP,,iembot gsp,"iembot gsp At 7:06 AM, 4 NNE Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261106/201609261106",1,IA
321,iembot_ewx,"At 7:54 AM, 2 NNW Garden Ridge [Comal Co, TX] LAW ENFORCEMENT reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261254/201609261254",2016-09-26 12:58:23+00:00,0,0,,#EWX,,iembot ewx,"iembot ewx At 7:54 AM, 2 NNW Garden Ridge [Comal Co, TX] LAW ENFORCEMENT reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261254/201609261254",1,IA
322,BLifeHumble,Mercer Botanic Gardens Hosts Gala to Fund Flood Recovery http://bubly.us/NvwK,2016-09-26 12:54:30+00:00,0,0,,,,BLifeHumble,BLifeHumble Mercer Botanic Gardens Hosts Gala to Fund Flood Recovery http://bubly.us/NvwK,1,IA
323,CharlotteCP,"Charlotte trends now: Arnold Palmer, Jose Fernandez, Cam Newton, Flash Flood Warning, clttraffic and ncwx. http://toplocalnow.com/us/charlotte?section=trends",2016-09-26 12:48:07+00:00,0,0,,,,CharlotteCP,"CharlotteCP Charlotte trends now: Arnold Palmer, Jose Fernandez, Cam Newton, Flash Flood Warning, clttraffic and ncwx. http://toplocalnow.com/us/charlotte?section=trends",1,IA
324,SanAntonioCP, Move to higher ground! Flash Flood Warning including Canyon Lake TX until 9:15 AM CDT @NWSSanAntonio http://toplocalnow.com/us/san-antonio,2016-09-26 12:48:05+00:00,0,0,@NWSSanAntonio,,,SanAntonioCP,SanAntonioCP  Move to higher ground! Flash Flood Warning including Canyon Lake TX until 9:15 AM CDT @NWSSanAntonio http://toplocalnow.com/us/san-antonio,1,IA
325,BLifeAldine,Mercer Botanic Gardens Hosts Gala to Fund Flood Recovery http://bubly.us/Nvvu,2016-09-26 12:47:28+00:00,0,0,,,,BLifeAldine,BLifeAldine Mercer Botanic Gardens Hosts Gala to Fund Flood Recovery http://bubly.us/Nvvu,1,IA
326,NWSSanAntonio, Move to higher ground! Flash Flood Warning continues for San Antonio TX until 9:45 AM CDT ,2016-09-26 12:36:26+00:00,10,4,,,,NWSSanAntonio,NWSSanAntonio  Move to higher ground! Flash Flood Warning continues for San Antonio TX until 9:45 AM CDT ,1,IA
327,iembot_gsp,"At 8:00 AM, 3 NW Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261200/201609261200",2016-09-26 12:11:19+00:00,0,0,,#GSP,,iembot gsp,"iembot gsp At 8:00 AM, 3 NW Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261200/201609261200",1,IA
328,CharlotteCP,Drivers are trying to make it through flood waters on N. Tryon. Firefighters pulled a trapped driver to safety earl… https://twitter.com/i/web/status/780356417047887872,2016-09-26 12:09:06+00:00,0,0,,,,CharlotteCP,CharlotteCP Drivers are trying to make it through flood waters on N. Tryon. Firefighters pulled a trapped driver to safety earl… https://twitter.com/i/web/status/780356417047887872,1,IA
329,SanAntonioCP,"Flash flood warning Bexar county until 7:45 am. Estimates 3""-6"" since last night. Flash flood watch till 1:00 pm.… http://toplocalnow.com/us/san-antonio",2016-09-26 12:09:05+00:00,0,0,,,,SanAntonioCP,"SanAntonioCP Flash flood warning Bexar county until 7:45 am. Estimates 3""-6"" since last night. Flash flood watch till 1:00 pm.… http://toplocalnow.com/us/san-antonio",1,IA
330,Austin_CP,FLOOD ADVISORY issued for Hays County until 8:15 this morning. Minor flooding will be possible. KVUE News @KVUE http://toplocalnow.com/us/austin,2016-09-26 12:09:04+00:00,0,0,@KVUE,,,Austin CP,Austin CP FLOOD ADVISORY issued for Hays County until 8:15 this morning. Minor flooding will be possible. KVUE News @KVUE http://toplocalnow.com/us/austin,1,IA
331,iembot_gsp,"At 7:40 AM, 3 NW Charlotte [Mecklenburg Co, NC] BROADCAST MEDIA reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261140/201609261140",2016-09-26 12:06:41+00:00,0,0,,#GSP,,iembot gsp,"iembot gsp At 7:40 AM, 3 NW Charlotte [Mecklenburg Co, NC] BROADCAST MEDIA reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261140/201609261140",1,IA
332,iembot_gsp,"At 7:40 AM, 4 NNE Charlotte [Mecklenburg Co, NC] SOCIAL MEDIA reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261140/201609261140",2016-09-26 12:02:39+00:00,0,0,,#GSP,,iembot gsp,"iembot gsp At 7:40 AM, 4 NNE Charlotte [Mecklenburg Co, NC] SOCIAL MEDIA reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261140/201609261140",1,IA
333,iembot_gsp,"At 7:05 AM, 4 NNE Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261105/201609261105",2016-09-26 11:59:30+00:00,0,0,,#GSP,,iembot gsp,"iembot gsp At 7:05 AM, 4 NNE Charlotte [Mecklenburg Co, NC] OTHER FEDERAL reports FLASH FLOOD #GSP http://mesonet.agron.iastate.edu/lsr/#GSP/201609261105/201609261105",1,IA
334,USGS_TexasFlood,"#USGS08190000 - Nueces Rv at Laguna, TX is below NWS flood stage (10ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08190000&amp;t=20160926053000",2016-09-26 11:38:52+00:00,0,0,,#USGS08190000,,USGS TexasFlood,"USGS TexasFlood #USGS08190000 - Nueces Rv at Laguna, TX is below NWS flood stage (10ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08190000&amp;t=20160926053000",1,IA
335,USGS_TexasFlood,"#USGS08178565 - San Antonio Rv at Loop 410, San Antonio, TX is above NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178565&amp;t=20160926061500",2016-09-26 11:28:51+00:00,0,0,,#USGS08178565,,USGS TexasFlood,"USGS TexasFlood #USGS08178565 - San Antonio Rv at Loop 410, San Antonio, TX is above NWS flood stage (12ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08178565&amp;t=20160926061500",1,IA
336,NWSSanAntonio, Move to higher ground! Flash Flood Warning including Canyon Lake TX until 9:15 AM CDT ,2016-09-26 11:14:44+00:00,14,2,,,,NWSSanAntonio,NWSSanAntonio  Move to higher ground! Flash Flood Warning including Canyon Lake TX until 9:15 AM CDT ,1,IA
337,USGS_TexasFlood,"#USGS08177700 - Olmos Ck at Dresden Dr, San Antonio, TX is above NWS flood stage (9ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08177700&amp;t=20160926060000",2016-09-26 11:06:52+00:00,0,0,,#USGS08177700,,USGS TexasFlood,"USGS TexasFlood #USGS08177700 - Olmos Ck at Dresden Dr, San Antonio, TX is above NWS flood stage (9ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08177700&amp;t=20160926060000",1,IA
338,CharlotteCP,Flood warning for the Charlotte area. Drive carefully. Standing or moving water is very dangerous for motorists.… http://toplocalnow.com/us/charlotte,2016-09-26 10:54:05+00:00,0,0,,,,CharlotteCP,CharlotteCP Flood warning for the Charlotte area. Drive carefully. Standing or moving water is very dangerous for motorists.… http://toplocalnow.com/us/charlotte,1,IA
339,iembot_ewx,"At 5:35 AM, 2 N Brooks City Base [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261035/201609261035",2016-09-26 10:44:46+00:00,2,0,,#EWX,,iembot ewx,"iembot ewx At 5:35 AM, 2 N Brooks City Base [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261035/201609261035",1,IA
340,iembot_ewx,"At 5:28 AM, 3 NNE Lackland AFB [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261028/201609261028",2016-09-26 10:42:45+00:00,1,0,,#EWX,,iembot ewx,"iembot ewx At 5:28 AM, 3 NNE Lackland AFB [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261028/201609261028",1,IA
341,iembot_ewx,"At 5:39 AM, 5 E Lackland AFB [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261039/201609261039",2016-09-26 10:40:55+00:00,1,0,,#EWX,,iembot ewx,"iembot ewx At 5:39 AM, 5 E Lackland AFB [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261039/201609261039",1,IA
342,SanAntonioCP,"Flash flood warning for Bexar County until 7:45 am. 2""-3"" has fallen this morning. Half inch in 10 mins at Stinson.… http://toplocalnow.com/us/san-antonio",2016-09-26 10:35:09+00:00,0,0,,,,SanAntonioCP,"SanAntonioCP Flash flood warning for Bexar County until 7:45 am. 2""-3"" has fallen this morning. Half inch in 10 mins at Stinson.… http://toplocalnow.com/us/san-antonio",1,IA
343,SanAntonioCP,Flash Flood Warning is in effect for Bexar County and San Antonio. Watch for flooded roads like this at I-35!… https://twitter.com/i/web/status/780348383227555841,2016-09-26 10:35:08+00:00,0,0,,,,SanAntonioCP,SanAntonioCP Flash Flood Warning is in effect for Bexar County and San Antonio. Watch for flooded roads like this at I-35!… https://twitter.com/i/web/status/780348383227555841,1,IA
344,SanAntonioCP,"Heavy rain is falling over SA that already recieved 1-2"" of rain within the hour. Flash Flood WARNING until 7:45AM.… http://toplocalnow.com/us/san-antonio",2016-09-26 10:35:07+00:00,0,0,,,,SanAntonioCP,"SanAntonioCP Heavy rain is falling over SA that already recieved 1-2"" of rain within the hour. Flash Flood WARNING until 7:45AM.… http://toplocalnow.com/us/san-antonio",1,IA
345,CharlotteCP,| Car trapped in flood waters on N. Tryon &amp; E. 16th Street. Unclear if driver is inside. Police are here.… https://twitter.com/i/web/status/780350020390313984,2016-09-26 10:34:39+00:00,0,0,,,,CharlotteCP,CharlotteCP | Car trapped in flood waters on N. Tryon &amp; E. 16th Street. Unclear if driver is inside. Police are here.… https://twitter.com/i/web/status/780350020390313984,1,IA
346,iembot_ewx,"At 5:23 AM, 4 WNW Mitchell Lake [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261023/201609261023",2016-09-26 10:25:58+00:00,0,0,,#EWX,,iembot ewx,"iembot ewx At 5:23 AM, 4 WNW Mitchell Lake [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261023/201609261023",1,IA
347,iembot_ewx,"At 5:10 AM, 5 ESE Lackland AFB [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261010/201609261010",2016-09-26 10:23:59+00:00,0,0,,#EWX,,iembot ewx,"iembot ewx At 5:10 AM, 5 ESE Lackland AFB [Bexar Co, TX] FIRE DEPT/RESCUE reports FLASH FLOOD #EWX http://mesonet.agron.iastate.edu/lsr/#EWX/201609261010/201609261010",1,IA
348,jodymacdaniel,#history @Johnstown Flood National Memorial https://www.instagram.com/p/BK0L2a_hGRfs0JOuM5WhgjBwq6pnz_gvV28eOw0/,2016-09-26 10:14:16+00:00,0,0,,#history,,jodymacdaniel,jodymacdaniel #history @Johnstown Flood National Memorial https://www.instagram.com/p/BK0L2a_hGRfs0JOuM5WhgjBwq6pnz_gvV28eOw0/,1,IA
349,TotalTrafficSAT,Flash floods in San Antonio #traffic http://bit.ly/17hwv06,2016-09-26 10:11:58+00:00,0,0,,#traffic,,TotalTrafficSAT,TotalTrafficSAT Flash floods in San Antonio #traffic http://bit.ly/17hwv06,1,IA
350,NWSSanAntonio, Move to higher ground! Flash Flood Warning including San Antonio TX and Universal City TX until 7:45 AM CDT ,2016-09-26 09:53:06+00:00,10,4,,,,NWSSanAntonio,NWSSanAntonio  Move to higher ground! Flash Flood Warning including San Antonio TX and Universal City TX until 7:45 AM CDT ,1,IA
351,USGS_TexasFlood,"#USGS08192000 - Nueces Rv bl Uvalde, TX is above NWS flood stage (11ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08192000&amp;t=20160926043000",2016-09-26 09:38:51+00:00,0,0,,#USGS08192000,,USGS TexasFlood,"USGS TexasFlood #USGS08192000 - Nueces Rv bl Uvalde, TX is above NWS flood stage (11ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08192000&amp;t=20160926043000",1,IA
352,SanAntonioCP,"Showers, storms, heavy downpours overnight & this morning. Flood advisory Bexar Co till 6:45. Front later today.… http://toplocalnow.com/us/san-antonio",2016-09-26 09:23:15+00:00,0,0,,,,SanAntonioCP,"SanAntonioCP Showers, storms, heavy downpours overnight & this morning. Flood advisory Bexar Co till 6:45. Front later today.… http://toplocalnow.com/us/san-antonio",1,IA
353,USGS_TexasFlood,"#USGS08190500 - W Nueces Rv nr Brackettville, TX is below NWS flood stage (15ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08190500&amp;t=20160926013000",2016-09-26 08:38:49+00:00,0,0,,#USGS08190500,,USGS TexasFlood,"USGS TexasFlood #USGS08190500 - W Nueces Rv nr Brackettville, TX is below NWS flood stage (15ft) http://waterdata.usgs.gov/tx/nwis/uv?site_no=08190500&amp;t=20160926013000",1,IA
354,MilwaukeeCP,"Floods force evacuations in Iowa, Wisconsin http://dlvr.it/ML7HSG",2016-09-26 08:28:35+00:00,0,0,,,,MilwaukeeCP,"MilwaukeeCP Floods force evacuations in Iowa, Wisconsin http://dlvr.it/ML7HSG",1,IA
355,SanAntonioCP,3 AM: Heavy rain is developing again over SA. These are moving north northwest. Flash Flood Watch until 7am.… http://toplocalnow.com/us/san-antonio,2016-09-26 08:28:33+00:00,0,0,,,,SanAntonioCP,SanAntonioCP 3 AM: Heavy rain is developing again over SA. These are moving north northwest. Flash Flood Watch until 7am.… http://toplocalnow.com/us/san-antonio,1,IA
356,BaltimoreCP,"Floods force evacuations in Iowa, Wisconsin http://dlvr.it/ML7BXc",2016-09-26 08:09:05+00:00,0,0,,,,BaltimoreCP,"BaltimoreCP Floods force evacuations in Iowa, Wisconsin http://dlvr.it/ML7BXc",1,IA
357,iembot_bro,"At 10:20 PM, Zapata [Zapata Co, TX] LAW ENFORCEMENT reports FLASH FLOOD #BRO http://mesonet.agron.iastate.edu/lsr/#BRO/201609260320/201609260320",2016-09-26 04:23:49+00:00,0,1,,#BRO,,iembot bro,"iembot bro At 10:20 PM, Zapata [Zapata Co, TX] LAW ENFORCEMENT reports FLASH FLOOD #BRO http://mesonet.agron.iastate.edu/lsr/#BRO/201609260320/201609260320",1,IA
